Team Name , Owner Net Worth in Billions ,Team ID,
Boston Celtics, $7.5 ,1610612738,
Brooklyn nets , $11.0 ,1610612751,
Charlotte Hornets , $0.4 ,1610612766,
Chicago Bulls, $2.3 ,1610612741,
Cleveland Calvaliers , $32.4 ,1610612739,
Dallas Mavericks , $32.3 ,1610612742,
Denver Nuggets, $16.9 ,1610612743,
Detroit Pistons , $10.1 ,1610612765,
Golden State Warriors , $4.0 ,1610612744,
Houston Rockets, $11.3 ,1610612745,
Indiana Pacers , $2.4 ,1610612754,
LA Clippers, $123.0 ,1610612746,
Los Angeles Lakers , $30.0 ,1610612747,
Memphis Grizzlies, $24.0 ,1610612763,
Miami Heat, $8.6 ,1610612748,
Milwaukee Bucks, $8.5 ,1610612749,
Minnesota Timberwolves, $2.9 ,1610612750,
New Orleans Pelicans, $7.9 ,1610612740,
New York Knicks, $2.0 ,1610612752,
Oklahoma City Thunder, $0.4 ,1610612760,
Philidelphia 76ers, $11.2 ,1610612755,
Portland Trailblazers, $2.0 ,1610612757,
Toronto Raptors, $2.8 ,1610612761,
Utah Jazz, $2.6 ,1610612762,
Pheonix Suns, $10.0 ,1610612756,
Sacramento Kings, $0.8 ,1610612758,
Orlando Magic, $5.4 ,1610612753,
Washington Wizards, $3.1 ,1610612764,
San Antonio Spurs , $0.2 ,1610612759,
Atlanta Hawks, $12.3 ,1610612737,
,,,
,,,